Student_ID,Study_Hours,Attendance,Assignment_Score,Quiz_Score,Internal_Marks,Practical_Score,Midterm_Score,Previous_Sem_Marks,Final_Marks
S050,4.7,88.9,64.5,68.6,75.9,50.5,78.6,56.9,65.8
S051,5.5,83.2,84.9,87.8,72.4,65.1,81.4,77.1,85.8
S052,7.1,89.6,87.6,79.4,75.3,83.2,83.6,84.8,82
S053,3.6,60.9,50.7,64.4,58.4,58.6,54.7,44.8,52.8
S054,5.3,80.8,60.6,60,72.9,62,69.6,65.5,67.3
S055,1.9,81.2,46.8,66,76.8,59.8,52.8,56.6,61.6
S056,4.2,73.9,61.6,65,73.1,72.9,65.8,55.3,69.7
S057,3.5,77.2,82.9,60,70,64.8,55.1,69.3,70.8
S058,4.7,93.3,92.3,88.9,84,100,81.5,83.8,96.5
S059,3,64.2,57.7,67.2,61.2,61.1,66,69.3,60.7
S060,5.3,85.7,87.1,80.1,86.3,84.6,87.3,74.7,89.5
S061,4.4,61.8,43.8,39.2,52.8,63.9,59,54.8,49.6
S062,2.9,77.7,65.3,64.5,66.7,67.3,61.3,63.9,82.3
S063,5,86.5,75.4,66.5,77.9,67.6,63.4,74.4,66.1
S064,4.7,75.9,78.9,75,76.9,77.1,74.6,70.6,88.8
S065,5,83.5,85.9,78.6,78.3,79.1,78.8,74.8,91.6
S066,6.7,95.5,85.8,70.2,86,73.6,81.5,75.2,80.5
S067,5.1,69.7,73.2,55.9,66.8,67,73.4,57.2,83.9
S068,6,68.1,64.6,70.3,69.3,63.8,62.5,66.4,75.3
S069,5.4,87.1,88.6,77.6,85.6,86.7,82.7,81.3,91.4
S070,3.8,82.2,79.4,49.4,65.3,69,59,69,70.8
S071,3.4,66.6,51,60,56,55.7,55.6,63.2,55
S072,4.1,77.1,53.8,58.9,70.1,58.9,54.9,64.2,58
S073,4.2,75.7,69.7,54.5,56.7,63.1,52.3,53.9,64.5
S074,3.9,88.4,76.5,66.2,67.5,79.7,72.7,75.3,88.4
S075,5,83.2,83.1,78.5,64.7,67.5,70,64.3,77.1
S076,5.7,98,78.9,82.2,83.4,73.5,76.7,75,78
S077,7.4,72.7,79.3,85.7,68.8,76.7,79.5,57.9,76.3
S078,7.2,65.4,77.8,78.4,73.5,73.3,73.1,80.1,83.4
S079,4.3,94.9,81,80.1,89.5,69.2,74.6,76.7,85.8
S080,4.2,72,78,65.3,53.8,70.7,50.2,61.9,73.9
S081,3.5,82.9,74.5,80.1,81.6,77.9,67,80.6,76.3
S082,3.5,81.2,58.3,66,76.3,54.6,58.1,44.3,58.6
S083,4.9,63.5,66,75.4,61.7,69.5,60.2,48.8,63
S084,5.9,65.8,72.3,64.1,66.2,73.4,75.6,68.2,59
S085,2.8,56,47.8,51.7,54.2,59.9,51.6,53.8,57.8
S086,4.5,76.8,81.8,72.5,73.6,80.2,83.8,74.3,78.6
S087,1.8,76.9,61.2,67.3,66.7,55.6,60.8,52.4,62.2
S088,4.6,81.8,79.6,81.2,82.9,73.7,69.5,67,54.6
S089,4,84.3,63.1,72,90.6,74,73.5,86.5,70.8
S090,4.6,72.1,72.9,72.6,76,73.2,74.4,77.9,85.8
S091,4.3,67.8,69.8,80,91.4,83.4,88.8,75.8,76.4
S092,4.6,77.5,66.5,67.7,72.9,79.5,51.6,62.8,74.6
S093,2.3,70.9,67,69.6,79,75.8,47.5,59.4,56.7
S094,3,80.5,69,51.9,72.6,77,62.5,51.2,80.4
S095,5.8,67.7,53.1,47,55.3,55,50.3,49.6,53
S096,2,65.9,52.5,45.4,59.2,56.3,53.6,56.4,54.8
S097,2.3,71.4,56.4,36.4,77.9,60.4,54,40.9,70.1
S098,6.1,70.6,56.7,54.2,67.4,63.7,56.1,51,72.5
S099,8.5,85.3,85.3,73.4,74.6,80.4,85.3,63.5,80.6
S100,2.6,64.9,64.2,56.4,68.5,65.3,63.2,49.9,56.1
S101,4,73.3,70,73.3,67.1,66.8,65.2,63.1,66
S102,6.4,91.1,92.5,85.8,86.2,82.3,93.3,67.2,94.8
S103,6.6,80.5,72.3,61.6,75.7,67.4,68.8,67.2,70.6
S104,4.3,81.9,92.9,78.1,82.3,82.6,73.6,80.7,79.7
S105,3.7,73.2,60.5,66.1,64.9,61.2,61.7,54.6,70.7
S106,5.5,74.3,69.4,62.5,71.3,72.5,68.4,47.3,71.1
S107,4.5,68.6,57.1,53.2,64.6,65.8,57.5,49.2,76.4
S108,4,80.8,62,69.9,73,65.3,74.7,71.8,69.6
S109,5.4,71.6,75.5,79.5,70.6,85.5,62.9,57.1,95.7
S110,1.6,55,44.6,51.8,56.8,53.2,35.1,44.9,50.9
S111,4.9,71.5,77.4,75.7,72,68.9,66.3,63.7,85
S112,4.7,63.8,77.4,78.3,66.3,82.8,69.5,75.3,71
S113,4.5,67.9,66.1,56.4,66,62.5,60.1,55.5,60.3
S114,2.8,70.2,49.8,51.8,57.9,45.2,39.2,53.3,57
S115,5.4,76.7,79.7,70.9,70.3,66.9,63.9,71.8,81.6
S116,5.5,74.6,71.9,57.1,72.7,61,57.7,73.8,68.2
S117,5.2,87.7,74.9,62.9,69.2,74.9,89.7,68.2,69
S118,5.2,87.5,69.6,76.3,72.5,70.8,82.6,69.9,66
S119,6.3,91.9,95.9,88.4,89,87.6,87.3,74.9,85.8
S120,4.6,85.3,71,60.6,71.7,72.9,63.6,72.6,59.5
S121,3,69.4,50.7,56.3,63.6,61.6,47,50,59.9
S122,5.3,73.8,75,81.3,69.3,76.1,58.7,65.1,83.5
S123,4.9,75.8,77,57.4,80.3,76.6,71.2,69.4,76.2
S124,8.5,79.9,86.6,80.2,89,93.1,82.7,71.6,79.1
S125,7.4,79.3,86.1,77,71.6,70.3,81.6,78.1,85.2
S126,5.6,78.7,68.9,86,66,74,63.2,77.8,77.7
S127,5.2,96.8,97.9,89.9,91.4,74,81.9,85.7,100
S128,2.4,79.3,64.3,59.7,59.8,57.5,53.4,42.3,47.6
S129,5.7,62.6,64.8,56.5,64.7,66.1,65.1,58.8,63.6
S130,4.3,72.4,63.9,51.7,63.1,68.1,60.5,61.6,72.9
S131,5,67.2,54.1,69.7,69.9,75.2,55.6,49.4,71.6
S132,1.5,68.9,46.9,51.5,63.7,55.7,55.1,43.8,57.1
S133,6.5,82.8,80,83.9,74.5,77,73.2,80.4,84
S134,5.1,63.2,64.2,67.3,62.9,72.8,71.4,66.4,72.8
S135,2.1,71.3,57.7,52.8,50.7,51,48.6,53.1,58.1
S136,3.3,64.6,71.7,58.5,63.2,60,45.8,68.4,54.1
S137,5.4,77.1,69.9,80.5,84.6,81.5,71.5,73.9,83.7
S138,5.6,78.1,78.1,86.9,80.3,77.8,82.8,81.2,75.7
S139,6.2,91.4,98.4,83.9,81.7,98.4,99.1,100,100
S140,7.3,98,100,91.2,97,100,100,98.7,100
S141,4.9,80.4,70.3,82.6,73.5,70.4,85.1,66.1,74.9
S142,4.1,71.4,62.3,66.9,59.1,66.8,63.7,58.7,60.6
S143,4.6,61.3,59.3,39.1,46.7,54.1,41.7,45.8,43.1
S144,2,89.7,63.1,57.4,78.1,72.3,74.6,66.4,67.7
S145,3.8,68.3,54.8,61,62.2,57.9,71.9,50.5,60.1
S146,4.6,63.9,65.4,72.3,74.2,62.2,77.8,78.4,60.7
S147,4.6,80,62.5,76.1,63.3,62.1,53.1,62.3,68.4
S148,4.2,74.4,75.5,72.1,66.7,73,60.5,60.3,63.8
S149,3.7,95.4,85.3,78.9,89.9,75.8,91.2,85.6,90.8
S150,5.3,82.1,64.5,66.9,66.7,76.6,64.3,68,68.6
